id,name,category,type,lat,lng,radius,village,district,stressLevel,recoveryScore,crowd,noise,accessScore,openHours,sourceType,description,tags,recommendation
"rth-wisdom-park-ugm","Wisdom Park UGM","rth","point","-7.77078","110.381619","180","Caturtunggal","Depok","low","94","Sedang","Rendah","86","06.00–18.00","Slide RTH","Ruang hijau kampus yang cocok untuk walking break, regulasi emosi ringan, dan jeda dari kepadatan aktivitas akademik.","green recovery; campus; quiet walk; shade","Prioritas sebagai zona pemulihan emosi karena teduh, luas, dan dekat area mahasiswa."
"rth-lembah-ugm","Lembah UGM","rth","point","-7.769122","110.382466","160","Caturtunggal","Depok","low","88","Sedang","Rendah","84","06.00–18.00","Slide RTH","Area terbuka kampus yang mendukung relaksasi pasif, duduk tenang, dan aktivitas ringan luar ruang.","campus park; calm; outdoor pause","Cocok untuk titik rekomendasi saat pengguna mencari lokasi tenang di sekitar kampus."
"rth-sendang-somobetri","Sendang Somobetri","rth","point","-7.771835","110.420873","155","Maguwoharjo","Depok","low","82","Rendah","Rendah","73","06.00–17.30","Slide RTH","Ruang alami berbasis elemen air dan vegetasi yang dapat diposisikan sebagai titik pemulihan suasana hati.","water element; natural; low crowd","Baik untuk pengguna yang memerlukan lokasi rendah keramaian."
"rth-embung-tambakboyo","Embung Tambakboyo","rth","point","-7.756186","110.414962","340","Condongcatur","Depok","medium","86","Tinggi pada sore","Sedang","88","05.30–18.30","Slide RTH","Ruang terbuka luas yang mendukung aktivitas jalan santai dan olahraga ringan, tetapi perlu penanda kepadatan pada jam ramai.","lake; walking; sport; popular","Tampilkan indikator jam ramai agar pengguna sensitif keramaian bisa memilih waktu lebih tenang."
"rth-taman-ptbb-ft-uny","Taman PTBB FT UNY","rth","point","-7.768753","110.387859","115","Caturtunggal","Depok","low","80","Sedang","Sedang","80","07.00–17.00","Slide RTH","Taman kampus yang relevan sebagai ruang jeda singkat bagi mahasiswa dan civitas akademika.","campus; micro-break; near classroom","Cocok sebagai micro recovery point di antara jadwal kuliah."
"rth-taman-kearifan-ugm","Taman Kearifan UGM","rth","point","-7.775314","110.380433","140","Caturtunggal","Depok","low","87","Rendah–Sedang","Rendah","78","06.00–18.00","Slide RTH","Ruang hijau dengan suasana relatif tenang, cocok untuk grounding, membaca, dan jeda digital.","grounding; quiet; reading","Direkomendasikan untuk fitur filter 'butuh hening'."
"rth-hutan-kota","Hutan Kota","rth","point","-7.773366","110.396701","210","Caturtunggal","Depok","low","91","Rendah","Rendah","74","06.00–17.30","Slide RTH","Ruang hijau kota dengan potensi besar sebagai area pemulihan emosi berbasis vegetasi dan ketenangan lingkungan.","urban forest; low noise; nature therapy","Prioritas untuk program smart health berbasis ruang hijau."
"rth-taman-winasutan-asri","Taman Winasutan Asri","rth","point","-7.767686","110.442079","120","Maguwoharjo","Depok","low","76","Rendah","Rendah","70","06.00–18.00","Slide RTH","Taman lingkungan yang dapat menjadi titik pemulihan emosional skala permukiman.","neighbourhood; low crowd; local park","Butuh validasi fasilitas pendukung seperti tempat duduk, pencahayaan, dan akses difabel."
"rth-sendang-mulyo-kali-grojokan","Sendang Mulyo Kali Grojokan","rth","point","-7.776039","110.428233","130","Maguwoharjo","Depok","low","78","Rendah","Rendah","68","06.00–17.30","Slide RTH","Ruang alami berbasis sungai/sendang yang bisa digunakan sebagai referensi titik tenang dengan catatan keamanan akses.","water; nature; quiet","Tambahkan survei keamanan, pencahayaan, dan akses jalur."
"rth-bendung-glendongan","Bendung Glendongan","rth","point","-7.777251","110.419563","150","Maguwoharjo","Depok","medium","74","Rendah","Sedang","66","06.00–17.30","Slide RTH","Area ruang terbuka berbasis lanskap air, potensial untuk pemulihan ringan tetapi memerlukan asesmen keamanan.","water; open space; safety check","Tandai sebagai zona potensial, bukan rekomendasi utama sampai data keselamatan terverifikasi."
"counseling-campus-north","Pusat Konseling Kampus Utara","counseling","point","-7.76695","110.38114","80","Caturtunggal","Depok","support","89","Berdasarkan jadwal","Rendah","82","Senin–Jumat 08.00–16.00","Prototype placeholder","Contoh titik layanan konseling kampus. Ganti dengan nama lembaga, jam layanan, dan kanal kontak resmi setelah verifikasi.","counseling; student support; appointment","Gunakan sebagai kategori layanan profesional dengan tombol kontak dan rute."
"counseling-community-care","Ruang Konseling Komunitas","counseling","point","-7.75869","110.40535","90","Condongcatur","Depok","support","83","Berdasarkan jadwal","Rendah","76","Reservasi","Prototype placeholder","Contoh layanan support komunitas untuk edukasi kesehatan mental dan rujukan awal.","community support; reservation; mental health literacy","Butuh integrasi kontak resmi, SOP privasi, dan alur rujukan."
"health-primary-care","Fasilitas Kesehatan Primer","health","point","-7.76582","110.39284","90","Caturtunggal","Depok","support","78","Sedang","Sedang","82","08.00–20.00","Prototype placeholder","Contoh fasilitas kesehatan primer yang dapat menjadi simpul rujukan apabila pengguna membutuhkan bantuan lebih lanjut.","health facility; referral; public service","Tambahkan klasifikasi layanan mental health, biaya, BPJS, dan kontak resmi."
"health-emergency-node","Node Rujukan Darurat","health","point","-7.78315","110.38182","120","Caturtunggal","Depok","support","81","Tinggi","Sedang","88","24 jam","Prototype placeholder","Contoh simpul rujukan darurat. Untuk implementasi nyata, tampilkan nomor resmi dan protokol krisis yang valid.","emergency; 24 hours; referral","Jangan tampilkan klaim layanan sebelum diverifikasi dari institusi terkait."
"safe-space-library","Quiet Library Corner","safe_space","point","-7.77596","110.38688","70","Caturtunggal","Depok","low","84","Rendah–Sedang","Rendah","78","09.00–17.00","Prototype placeholder","Contoh ruang tenang indoor untuk membaca, self-regulation, dan menghindari overstimulation sementara.","indoor calm; quiet; reading","Cocok ditambahkan sebagai alternatif saat cuaca tidak mendukung ruang luar."
"safe-space-mindful-walk","Mindful Walk Corridor","safe_space","point","-7.76179","110.41577","180","Condongcatur","Depok","low","79","Sedang","Sedang","80","05.30–18.00","Prototype placeholder","Contoh koridor jalan kaki yang dapat diarahkan sebagai rute pemulihan ringan selama 10–15 menit.","walking route; breathing; short recovery","Tambahkan rute aman, pencahayaan, dan rekomendasi durasi berjalan."
"community-peer-circle","Peer Support Circle","community","point","-7.77267","110.39086","80","Caturtunggal","Depok","support","77","Berdasarkan kegiatan","Sedang","74","Event terjadwal","Prototype placeholder","Contoh titik komunitas pendukung untuk kegiatan sharing, edukasi, dan dukungan sebaya non-klinis.","peer support; event; community","Bedakan jelas antara dukungan sebaya dan layanan klinis profesional."
"stress-zone-campus-core","Zona Padat Aktivitas Akademik","stress_zone","zone","-7.7706","110.3867","520","Caturtunggal","Depok","high","38","Tinggi","Sedang–Tinggi","92","Puncak 07.00–16.00","Prototype analysis zone","Zona contoh dengan potensi stres karena kepadatan jadwal akademik, mobilitas mahasiswa, dan intensitas kegiatan harian.","academic pressure; crowd; time pressure","Prioritaskan wayfinding menuju RTH terdekat dan notifikasi jam tenang."
"stress-zone-traffic-corridor","Zona Tekanan Lalu Lintas","stress_zone","zone","-7.75836","110.40085","620","Condongcatur","Depok","high","34","Tinggi","Tinggi","90","Puncak 07.00–09.00 & 16.00–18.00","Prototype analysis zone","Zona contoh tekanan lingkungan perkotaan dari kepadatan lalu lintas, kebisingan, dan commuting stress.","traffic; noise; commuting stress","Tampilkan rute alternatif ke ruang pemulihan dan filter low-noise space."
"stress-zone-commercial","Zona Komersial Ramai","stress_zone","zone","-7.7832","110.4019","500","Caturtunggal","Depok","medium","49","Tinggi malam","Sedang–Tinggi","86","Puncak 18.00–22.00","Prototype analysis zone","Zona contoh overstimulation karena kepadatan komersial, cahaya, kebisingan, dan aktivitas malam.","commercial; night crowd; sensory load","Tambahkan indikator jam ramai agar pengguna dapat memilih waktu dan rute lebih nyaman."
